#separator:tab
#html:true
#tags column:52
creepy (unease)	"<img src=""Hange_Crazy.JPG"">"	assustador	assustador	/ɐsuʃtɐˈdoɾ/	/asustaˈdoʁ/	adj m	Que provoca medo ou susto; aterrorizante.		creepy	/ˈkɹipi/	/ˈkriːpi/	adj	Causing an unpleasant feeling of fear or unease.	A ghostly atmosphere and strange goings-on. This film was just too creepy for me.	espeluznante						effrayant						gruselig						espantós						spaventoso												Curso::1C1 Curso::1C1::File_4 Curso::1C1::Vocabulary-Bank::Books-and-Films Voc::Film
fixed-term contract									fixed-term contract	/ˈfɪkstˈtʰɜ˞m ˈkʰɑnˌtɹækt/	/fɪkst tɜːm ˈkɒntrækt/	n	A job contract with a set duration.	I’ve been offered a fixed-term contract to cover maternity leave.	contrato de duración determinada																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
freelance contract									freelance contract	/ˈfɹiˌlæns ˈkʰɑnˌtɹækt/	/ˈfriːlɑːns ˈkɒntrækt/	n	A work agreement where the employee is self-employed.	The company offered me a freelance contract, so I work for myself.	contrato como trabajador autónomo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
full-time contract									full-time contract	/ˈfʊlˈtʰaɪm ˈkʰɑnˌtɹækt/	/fʊl taɪm ˈkɒntrækt/	n	A job agreement for standard working hours and full pay.	I’ve got a full-time contract. I work from nine to five, five days a week.	contrato a jornada completa																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
get a pay rise									get a pay rise	/ˈɡɛt ə ˈpʰeɪ ˈɹaɪz/	/get ə raɪz/	v	To receive an increase in salary.	If you want to get a pay rise , you have to ask for one.	aumento salarial																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
get promoted									get promoted	/ˈɡɛt pɹəˈmoʊtəd/	/get prəˈməʊtɪd/	v	To advance to a higher job position.	If you want to get promoted , you have to work hard.	obtener un ascenso																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
high-powered									high-powered	/ˈhaɪˈpʰaʊə˞d/	/haɪ ˈpaʊəd/	adj	Very important, influential, or demanding.	My brother has a high-powered job in finance.	importante																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
hire									hire	/ˈhaɪə˞/	/ˈhaɪə/	v	To employ someone for a job.	They’re looking to hire a new manager.	contratar																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
job-hunting									job-hunting	/ˈdʒɑbˈhəntɪŋ/	/dʒɒb ˈhʌntɪŋ/	n	The act of searching for a job.	Job-hunting can be very time-consuming.	búsqueda de empleo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
maternity leave									maternity leave	/məˈtʰɜ˞nəti ˈliv/	/məˈtɜːnəti liːv/	n	Time off work granted to a mother before and after childbirth.	She had a baby last week and she’s now on maternity leave .	baja por maternidad																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
monotonous									monotonous	/məˈnɑtnəs/	/məˈnɒtənəs/	adj	Repetitive and unchanging, often leading to boredom.	My job as a checkout assistant can be monotonous sometimes.	monótono																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
motivating									motivating	/ˈmoʊtəˌveɪtɪŋ/	/ˈməʊtɪveɪtɪŋ/	adj	Inspiring enthusiasm or effort.	His talks are very motivating . You always feel you can do anything after listening to him.	motivador																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
part-time contract									part-time contract	/ˈpʰɑrtˈtʰaɪm ˈkʰɑnˌtɹækt/	/pɑːt taɪm ˈkɒntrækt/	n	A job contract for fewer hours than full-time employment.	The firm has offered me a part-time contract, but I’d like to work full time.	contrato a media jornada																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
paternity leave									paternity leave	/pəˈtʰɜ˞nəti ˈliv/	/pəˈtɜːnəti liːv/	n	Time off work granted to a father after the birth of a child.	My manager went on paternity leave to take care of his newborn baby.	permiso de paternidad																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
perk									perk	/ˈpʰɜ˞k/	/pɜːk/	n	A non-salary benefit given by an employer.	The company offered free health insurance as a perk .	incentivo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
permanent contract									permanent contract	/ˈpʰɜ˞mənənt ˈkʰɑnˌtɹækt/	/ˈpɜːmənənt ˈkɒntrækt/	n	A job agreement with no fixed end date.	I’ve got a permanent contract, so my job is pretty stable.	contrato indefinido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
quit									quit	/ˈkwɪt/	/kwɪt/	v	To leave a job voluntarily.	I didn’t agree with the new company policy so I decided to quit.	dejar el trabajo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
repetitive									repetitive	/ɹɪˈpʰɛtətɪv/	/rɪˈpetətɪv/	adj	Doing the same thing over and over again.	I couldn’t work on a factory production line. It’s such a repetitive job.	repetitivo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
resign									resign	/ɹɪˈzaɪn/	/rɪˈzaɪn/	v	To voluntarily leave a job or position.	If they don’t give me a promotion soon, I’ll resign .	dimitir																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
rewarding									rewarding	/ɹɪˈwɔrdɪŋ/	/rɪˈwɔːdɪŋ/	adj	Providing satisfaction or personal fulfillment.	I think being a nurse is a very rewarding job, as it makes you feel useful.	gratificante																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
sick leave									sick leave	/ˈsɪk ˈliv/	/sɪk liːv/	n	Time off work due to illness.	Meryl isn’t in the office this week. She’s on sick leave .	baja por enfermedad																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
skills									skills	/ˈskɪlz/	/skɪlz/	n pl	Abilities and expertise gained through experience or education.	The salary will be dependent on the skills of the candidates.	destrezas																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
staff									staff	/ˈstæf/	/stɑːf/	n	All the employees in an organization.	We have 20 full-time members of staff in our department.	personal																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
tedious									tedious	/ˈtʰidiəs/	/ˈtiːdiəs/	adj	Boring and repetitive.	My job is not very interesting. Actually, it’s quite tedious.	tedioso																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
temporary contract									temporary contract	/ˈtʰɛmpə˞ˌɹɛri ˈkʰɑnˌtɹækt/	/ˈtemprəri ˈkɒntrækt/	n	A job agreement for a limited period of time.	My first contract was a temporary contract. It didn’t last too long.	contrato temporal																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
unpaid leave									unpaid leave	/ˌənˈpʰeɪd ˈliv/	/ˈʌnpeɪd liːv/	n	Time off work without salary.	I need a couple of months off, so I may go on unpaid leave .	permiso sin sueldo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
work experience									work experience	/ˈwɜ˞k ɪkˈspɪriəns/	/wɜːk ɪkˈspɪəriəns/	n	Previous employment history or practical training.	Have you got any relevant work experience ?	experiencia laboral																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
workforce									workforce	/ˈwɜ˞kˌfɔrs/	/ˈwɜːkfɔːs/	n	All the employees in a company or sector.	Two thirds of the workforce is female.	plantilla																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
work overtime									work overtime	/ˈwɜ˞k ˈoʊvə˞ˌtaɪm/	/wɜːk ˈəʊvətaɪm/	v	To work extra hours beyond the regular schedule.	At busy times in the office, the staff are expected to work overtime .	hacer horas extras																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
zero-hours contract									zero-hours contract	/ˈzɪroˈaʊə˞z ˈkʰɑnˌtɹækt/	/ˈzɪərəʊ aʊəz ˈkɒntrækt/	n	A job contract with no guaranteed hours of work.	"My job at the market isn&#x27;t very stable. I have a zero-hours contract."	contrato de cero horas																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Work
affectionate									affectionate	/əˈfɛkʃənət/	/əˈfekʃənət/	adj	Showing love and warmth.	He’s an affectionate and loving child.	cariñoso																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
ambitious									ambitious	/æmˈbɪʃəs/	/æmˈbɪʃəs/	adj	Strongly motivated to achieve success.	"As soon as he joined the company he was looking for a promotion. He&#x27;s so ambitious."	ambicioso																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
assertive									assertive	/əˈsɜ˞tɪv/	/əˈsɜːtɪv/	adj	Expressing opinions confidently and firmly.	You should be more assertive , otherwise people just won’t listen to your ideas.	asertivo																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
bossy									bossy	/ˈbɑsi/	/ˈbɒsi/	adj	Tending to give orders in a domineering manner.	My older sister is a bit bossy and always tells me what to do.	mandón																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
honest									honest	/ˈɑnəst/	/ˈɒnɪst/	adj	Truthful and fair.	My parents are honest people and they would never take advantage of anyone.	honrado																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
loyal									loyal	/ˈlɔɪəl/	/ˈlɔɪəl/	adj	Remaining faithful and supportive.	She has always been a loyal and faithful friend.	leal																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
maduro, madura		maduro, madura	o maduro, a madura	u mɐˈduɾu | ɐ mɐˈduɾɐ	u maˈduɾu | a maˈduɾɐ	adj m/f	Que atingiu a maturidade; no caso de fruta, que está pronta a ser consumida.	Ou não está madura	mature	məˈtʰʊr	məˈtʰjʊə	adj	Behaving responsibly and wisely.	My little sister is mature for her age and behaves very responsibly.	maduro																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
moody									moody	/ˈmudi/	/ˈmuːdi/	adj	Having frequent changes in emotional state.	He’s so moody . I never know how he’s going to react to things.	de humor cambiante																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
open-minded									open-minded	/ˌoʊpənˈmaɪndəd/	/əʊpən ˈmaɪndɪd/	adj	Willing to consider different ideas or opinions.	"It&#x27;s important to be open-minded when you do research."	abierto de mente																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
outgoing									outgoing	/ˈaʊtˌɡoʊɪŋ/	/aʊtˈɡəʊɪŋ/	adj	Sociable and friendly.	"She&#x27;s so outgoing . She can walk into a room of strangers and immediately start a conversation."	extrovertido																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
patient									patient	/ˈpʰeɪʃənt/	/peɪʃnt/	adj	Able to tolerate delays or problems without frustration.	"He&#x27;s a patient teacher and doesn&#x27;t mind explaining things again."	paciente																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
reliable									reliable	/ɹɪˈlaɪəbəl/	/rɪˈlaɪəbl/	adj	Consistently trustworthy and dependable.	She’s a very reliable friend. You can always count on her.	de confianza																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
sensitive									sensitive	/ˈsɛnsətɪv/	/ˈsensətɪv/	adj	Highly responsive to emotions or external influences.	He’s very sensitive to other people’s feelings.	sensible																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
stubborn									stubborn	/ˈstəbə˞n/	/ˈstʌbən/	adj	"Unwilling to change one&#x27;s opinion or behavior."	"It&#x27;s almost impossible to change my dad&#x27;s mind. He&#x27;s incredibly stubborn ."	terco																																				Curso::1C1::File_1 Curso::1C1::Vocabulary-Bank::Personality
achievement									achievement	/əˈtʃivmənt/	/əˈtʃiːvmənt/	n	A significant success or accomplishment.	Winning the championship was such an achievement for our team.	logro																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
adulthood									adulthood	/əˈdəltˌhʊd/	/ˈædʌlthʊd/	n	The stage of life after reaching maturity.	Adulthood comes with many responsiblities and obligations.	edad adulta																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
anger									anger	/ˈæŋɡə˞/	/ˈæŋgə/	n	A strong feeling of displeasure or hostility.	Some people find it hard to express their anger.	ira																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
belief									belief	/bəˈlif/	/bɪˈliːf/	n	An acceptance that something is true or exists.	My belief in democracy made me become a politician.	creencia																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
boredom									boredom	/ˈbɔrdəm/	/ˈbɔːdəm/	n	A feeling of dissatisfaction due to lack of excitement.	Please stop reading that long document. I’m going to die of boredom .	aburrimiento																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
celebration									celebration	/ˌsɛləˈbɹeɪʃən/	/selɪˈbreɪʃn/	n	A social event marking a special occasion.	They organized a big celebration when they finished the project.	celebración																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
curiosity									curiosity	/ˌkjʊriˈɑsəti/	/kjʊəriˈɒsəti/	n	A strong desire to learn or know something.	Children show curiosity about everything.	curiosidad																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
danger									danger	/ˈdeɪndʒə˞/	/ˈdeɪndʒə/	n	A situation that poses a risk or threat.	She is now out of danger and safely on her way home .	riesgo																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
death									death	/ˈdɛθ/	/deθ/	n	The end of life.	Tomorrow is the anniversary of my dad’s death .	fallecimiento																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
excitement									excitement	/ɪkˈsaɪtmənt/	/ɪkˈsaɪtmənt/	n	A feeling of enthusiasm or eagerness.	I felt such excitement when they told me you were coming.	emoción																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
freedom									freedom	/ˈfɹidəm/	/ˈfriːdəm/	n	The power to act, speak, or think independently.	She really enjoys the freedom of living alone.	libertad																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
friendship									friendship	/ˈfɹɛndˌʃɪp/	/ˈfrendʃɪp/	n	A close and trusting relationship between people.	Their friendship began at primary school.	amistad																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
frustration									frustration	/ˌfɹəˈstɹeɪʃən/	/frʌˈstreɪʃn/	n	A feeling of annoyance caused by obstacles or difficulties.	I can’t stand the frustration of not being able to help.	frustración																																				Curso::1C1::File_2 Curso::1C1::Vocabulary-Bank::Word-Building::Abstract-Nouns
